feature_name,feature_group,source_table,source_column,join_rule,feature_label_ko,feature_description_ko,feature_group_ko
krx_auction_monthly__acc_trdcnt,auction,raw.krx_auction_monthly,acc_trdcnt,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 거래건수,raw.krx_auction_monthly의 `acc_trdcnt` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__acc_trdvol,auction,raw.krx_auction_monthly,acc_trdvol,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 거래량,raw.krx_auction_monthly의 `acc_trdvol` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__auct_trd_partc_cnt,auction,raw.krx_auction_monthly,auct_trd_partc_cnt,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 경매 참여자 수,raw.krx_auction_monthly의 `auct_trd_partc_cnt` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__auct_trd_qty,auction,raw.krx_auction_monthly,auct_trd_qty,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 경매 체결수량,raw.krx_auction_monthly의 `auct_trd_qty` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__auct_trd_rto,auction,raw.krx_auction_monthly,auct_trd_rto,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 경매 체결률,raw.krx_auction_monthly의 `auct_trd_rto` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__clsprc,auction,raw.krx_auction_monthly,clsprc,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 종가,raw.krx_auction_monthly의 `clsprc` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__hgst_ord_prc,auction,raw.krx_auction_monthly,hgst_ord_prc,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 최고 주문가격,raw.krx_auction_monthly의 `hgst_ord_prc` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__lwst_ord_prc,auction,raw.krx_auction_monthly,lwst_ord_prc,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 최저 주문가격,raw.krx_auction_monthly의 `lwst_ord_prc` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
krx_auction_monthly__onewayauct_appl_qty,auction,raw.krx_auction_monthly,onewayauct_appl_qty,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 배출권 경매 단일가 경매 신청수량,raw.krx_auction_monthly의 `onewayauct_appl_qty` 값을 사용한 변수입니다. 결합 기준: trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,KRX 경매
commodities_monthly__coal_newcastle,external_market,raw.commodities_monthly,coal_newcastle,date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,원자재 월별 가격 뉴캐슬 석탄 가격,raw.commodities_monthly의 `coal_newcastle` 값을 사용한 변수입니다. 결합 기준: date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,외부시장
commodities_monthly__lng_japan,external_market,raw.commodities_monthly,lng_japan,date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,원자재 월별 가격 일본 LNG 가격,raw.commodities_monthly의 `lng_japan` 값을 사용한 변수입니다. 결합 기준: date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,외부시장
commodities_monthly__natgas_europe,external_market,raw.commodities_monthly,natgas_europe,date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,원자재 월별 가격 유럽 천연가스 가격,raw.commodities_monthly의 `natgas_europe` 값을 사용한 변수입니다. 결합 기준: date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,외부시장
eua_daily__acc_trdvol,external_market,raw.eua_daily,acc_trdvol,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,EUA 일별 가격 거래량,raw.eua_daily의 `acc_trdvol` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
eua_daily__clsprc,external_market,raw.eua_daily,clsprc,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,EUA 일별 가격 종가,raw.eua_daily의 `clsprc` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
eua_daily__hpr,external_market,raw.eua_daily,hpr,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,EUA 일별 가격 고가,raw.eua_daily의 `hpr` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
eua_daily__lpr,external_market,raw.eua_daily,lpr,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,EUA 일별 가격 저가,raw.eua_daily의 `lpr` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
eua_daily__opr,external_market,raw.eua_daily,opr,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,EUA 일별 가격 시가,raw.eua_daily의 `opr` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
oil_daily__brent,external_market,raw.oil_daily,brent,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,국제유가 일별 가격 브렌트유 가격,raw.oil_daily의 `brent` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
oil_daily__wti,external_market,raw.oil_daily,wti,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,국제유가 일별 가격 WTI 가격,raw.oil_daily의 `wti` 값을 사용한 변수입니다. 결합 기준: date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,외부시장
mkt_daily_logret,market_internal,data.processed.targets.market_vwap_targets,mkt_daily_logret,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 일간 로그수익률,시장 VWAP 타겟 데이터에서 계산한 시장 VWAP 일간 로그수익률입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_is_blended,market_internal,data.processed.targets.market_vwap_targets,mkt_is_blended,target 기준일 자체 또는 기준일 이전 rolling/lag,복수 빈티지 거래일 여부,시장 VWAP 타겟 데이터에서 계산한 복수 빈티지 거래일 여부입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_log_market_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_log_market_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그값,시장 VWAP 타겟 데이터에서 계산한 시장 VWAP 로그값입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_logret_lag_1d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_lag_1d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 1일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 1일 전 값입니다.,시장 내부
mkt_logret_lag_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_lag_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 20일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 20일 전 값입니다.,시장 내부
mkt_logret_lag_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_lag_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 5일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 5일 전 값입니다.,시장 내부
mkt_logret_lag_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_lag_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 60일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 60일 전 값입니다.,시장 내부
mkt_logret_mean_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_mean_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 20일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 20일 이동평균입니다.,시장 내부
mkt_logret_mean_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_mean_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 5일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 5일 이동평균입니다.,시장 내부
mkt_logret_mean_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_mean_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 60일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 60일 이동평균입니다.,시장 내부
mkt_logret_vol_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_vol_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 20일 이동 변동성,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 20일 이동 변동성입니다.,시장 내부
mkt_logret_vol_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_vol_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 5일 이동 변동성,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 5일 이동 변동성입니다.,시장 내부
mkt_logret_vol_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_logret_vol_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 로그수익률 60일 이동 변동성,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 로그수익률 60일 이동 변동성입니다.,시장 내부
mkt_market_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP,시장 VWAP 타겟 데이터에서 계산한 시장 VWAP입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_market_vwap_lag_1d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_1d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 1일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 1일 전 값입니다.,시장 내부
mkt_market_vwap_lag_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 20일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 20일 전 값입니다.,시장 내부
mkt_market_vwap_lag_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 5일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 5일 전 값입니다.,시장 내부
mkt_market_vwap_lag_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_market_vwap_lag_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 VWAP 60일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 VWAP 60일 전 값입니다.,시장 내부
mkt_max_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_max_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,일별 최고 빈티지 VWAP,시장 VWAP 타겟 데이터에서 계산한 일별 최고 빈티지 VWAP입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_min_vwap,market_internal,data.processed.targets.market_vwap_targets,mkt_min_vwap,target 기준일 자체 또는 기준일 이전 rolling/lag,일별 최저 빈티지 VWAP,시장 VWAP 타겟 데이터에서 계산한 일별 최저 빈티지 VWAP입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_n_vintages,market_internal,data.processed.targets.market_vwap_targets,mkt_n_vintages,target 기준일 자체 또는 기준일 이전 rolling/lag,거래 빈티지 수,시장 VWAP 타겟 데이터에서 계산한 거래 빈티지 수입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdval,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdval,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래대금,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래대금입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdval_log1p,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdval_log1p,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래대금 로그값,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래대금 로그값입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdvol,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdvol,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래량,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래량입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_total_trdvol_log1p,market_internal,data.processed.targets.market_vwap_targets,mkt_total_trdvol_log1p,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 총 거래량 로그값,시장 VWAP 타겟 데이터에서 계산한 시장 총 거래량 로그값입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
mkt_volume_lag_1d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_1d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 1일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 1일 전 값입니다.,시장 내부
mkt_volume_lag_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 20일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 20일 전 값입니다.,시장 내부
mkt_volume_lag_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 5일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 5일 전 값입니다.,시장 내부
mkt_volume_lag_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_lag_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 60일 전 값,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 60일 전 값입니다.,시장 내부
mkt_volume_mean_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_mean_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 20일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 20일 이동평균입니다.,시장 내부
mkt_volume_mean_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_mean_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 5일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 5일 이동평균입니다.,시장 내부
mkt_volume_mean_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_mean_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 60일 이동평균,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 60일 이동평균입니다.,시장 내부
mkt_volume_std_20d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_std_20d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 20일 이동 표준편차,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 20일 이동 표준편차입니다.,시장 내부
mkt_volume_std_5d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_std_5d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 5일 이동 표준편차,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 5일 이동 표준편차입니다.,시장 내부
mkt_volume_std_60d,market_internal,data.processed.targets.market_vwap_targets,mkt_volume_std_60d,target 기준일 자체 또는 기준일 이전 rolling/lag,시장 거래량 로그값 60일 이동 표준편차,시장 VWAP 타겟 데이터에서 기준일 이전 값으로 계산한 시장 거래량 로그값 60일 이동 표준편차입니다.,시장 내부
mkt_vwap_range,market_internal,data.processed.targets.market_vwap_targets,mkt_vwap_range,target 기준일 자체 또는 기준일 이전 rolling/lag,빈티지 간 VWAP 범위,시장 VWAP 타겟 데이터에서 계산한 빈티지 간 VWAP 범위입니다. 결합 기준: target 기준일 자체 또는 기준일 이전 rolling/lag.,시장 내부
epsis_fuel_cost_monthly__fuel_cost_anthracite_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_anthracite_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(무연탄),raw.epsis_fuel_cost_monthly의 `fuel_cost_anthracite_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_bituminous_coal_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_bituminous_coal_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(유연탄),raw.epsis_fuel_cost_monthly의 `fuel_cost_bituminous_coal_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_lng_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_lng_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(LNG),raw.epsis_fuel_cost_monthly의 `fuel_cost_lng_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_nuclear_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_nuclear_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(원자력),raw.epsis_fuel_cost_monthly의 `fuel_cost_nuclear_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_cost_oil_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_cost_oil_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 발전연료비(유류),raw.epsis_fuel_cost_monthly의 `fuel_cost_oil_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_anthracite_krw_per_ton,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_anthracite_krw_per_ton,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(무연탄),raw.epsis_fuel_cost_monthly의 `fuel_price_anthracite_krw_per_ton` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_bituminous_coal_krw_per_ton,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_bituminous_coal_krw_per_ton,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(유연탄),raw.epsis_fuel_cost_monthly의 `fuel_price_bituminous_coal_krw_per_ton` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_lng_krw_per_ton,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_lng_krw_per_ton,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(LNG),raw.epsis_fuel_cost_monthly의 `fuel_price_lng_krw_per_ton` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_nuclear_krw_per_kwh,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_nuclear_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(원자력),raw.epsis_fuel_cost_monthly의 `fuel_price_nuclear_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__fuel_price_oil_krw_per_kl,power_epsis,raw.epsis_fuel_cost_monthly,fuel_price_oil_krw_per_kl,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 연료가격(유류),raw.epsis_fuel_cost_monthly의 `fuel_price_oil_krw_per_kl` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_anthracite_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_anthracite_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(무연탄),raw.epsis_fuel_cost_monthly의 `heat_price_anthracite_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
