feature_name,feature_group,source_table,source_column,join_rule,feature_label_ko,feature_description_ko,feature_group_ko
epsis_fuel_cost_monthly__heat_price_bituminous_coal_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_bituminous_coal_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(유연탄),raw.epsis_fuel_cost_monthly의 `heat_price_bituminous_coal_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_lng_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_lng_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(LNG),raw.epsis_fuel_cost_monthly의 `heat_price_lng_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_nuclear_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_nuclear_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(원자력),raw.epsis_fuel_cost_monthly의 `heat_price_nuclear_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_fuel_cost_monthly__heat_price_oil_krw_per_gcal,power_epsis,raw.epsis_fuel_cost_monthly,heat_price_oil_krw_per_gcal,asof_date <= trade_date 기준 as-of join.,EPSIS 발전연료비 열량단가(유류),raw.epsis_fuel_cost_monthly의 `heat_price_oil_krw_per_gcal` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__day,power_epsis,raw.epsis_power_supply_daily,day,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 일자 보조값,raw.epsis_power_supply_daily의 `day` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__installed_capacity_mw,power_epsis,raw.epsis_power_supply_daily,installed_capacity_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 설비용량(MW),raw.epsis_power_supply_daily의 `installed_capacity_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__minimum_demand_mw,power_epsis,raw.epsis_power_supply_daily,minimum_demand_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 최저수요(MW),raw.epsis_power_supply_daily의 `minimum_demand_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__peak_demand_mw,power_epsis,raw.epsis_power_supply_daily,peak_demand_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 최대수요(MW),raw.epsis_power_supply_daily의 `peak_demand_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__reserve_capacity_mw,power_epsis,raw.epsis_power_supply_daily,reserve_capacity_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 공급예비력(MW),raw.epsis_power_supply_daily의 `reserve_capacity_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__reserve_margin_pct,power_epsis,raw.epsis_power_supply_daily,reserve_margin_pct,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 공급예비율(%),raw.epsis_power_supply_daily의 `reserve_margin_pct` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_supply_daily__supply_capacity_mw,power_epsis,raw.epsis_power_supply_daily,supply_capacity_mw,asof_date <= trade_date 기준 as-of join.,EPSIS 전력수급 공급능력(MW),raw.epsis_power_supply_daily의 `supply_capacity_mw` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_anthracite_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_anthracite_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(무연탄),raw.epsis_power_trade_volume_monthly의 `trade_volume_anthracite_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_bio_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_bio_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(바이오),raw.epsis_power_trade_volume_monthly의 `trade_volume_bio_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_bituminous_coal_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_bituminous_coal_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(유연탄),raw.epsis_power_trade_volume_monthly의 `trade_volume_bituminous_coal_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_coal_gasification_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_coal_gasification_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(석탄가스화),raw.epsis_power_trade_volume_monthly의 `trade_volume_coal_gasification_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_coal_total_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_coal_total_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(석탄 합계),raw.epsis_power_trade_volume_monthly의 `trade_volume_coal_total_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_fuel_cell_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_fuel_cell_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(연료전지),raw.epsis_power_trade_volume_monthly의 `trade_volume_fuel_cell_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_hydro_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_hydro_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(수력),raw.epsis_power_trade_volume_monthly의 `trade_volume_hydro_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_lng_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_lng_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(LNG),raw.epsis_power_trade_volume_monthly의 `trade_volume_lng_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_market_ppa_total_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_market_ppa_total_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(시장+PPA 합계),raw.epsis_power_trade_volume_monthly의 `trade_volume_market_ppa_total_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_market_total_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_market_total_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(시장 합계),raw.epsis_power_trade_volume_monthly의 `trade_volume_market_total_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_nuclear_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_nuclear_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(원자력),raw.epsis_power_trade_volume_monthly의 `trade_volume_nuclear_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_ocean_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_ocean_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(해양),raw.epsis_power_trade_volume_monthly의 `trade_volume_ocean_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_oil_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_oil_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(유류),raw.epsis_power_trade_volume_monthly의 `trade_volume_oil_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_other_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_other_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(기타),raw.epsis_power_trade_volume_monthly의 `trade_volume_other_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_ppa_total_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_ppa_total_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(PPA 합계),raw.epsis_power_trade_volume_monthly의 `trade_volume_ppa_total_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_pumped_storage_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_pumped_storage_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(양수),raw.epsis_power_trade_volume_monthly의 `trade_volume_pumped_storage_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_renewable_total_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_renewable_total_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(재생에너지 합계),raw.epsis_power_trade_volume_monthly의 `trade_volume_renewable_total_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_solar_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_solar_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(태양광),raw.epsis_power_trade_volume_monthly의 `trade_volume_solar_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_waste_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_waste_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(폐기물),raw.epsis_power_trade_volume_monthly의 `trade_volume_waste_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_power_trade_volume_monthly__trade_volume_wind_gwh,power_epsis,raw.epsis_power_trade_volume_monthly,trade_volume_wind_gwh,asof_date <= trade_date 기준 as-of join.,EPSIS 전력거래량 전력거래량(풍력),raw.epsis_power_trade_volume_monthly의 `trade_volume_wind_gwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_smp_monthly__blmp_krw_per_kwh,power_epsis,raw.epsis_smp_monthly,blmp_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS SMP BLMP(원/kWh),raw.epsis_smp_monthly의 `blmp_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_smp_monthly__smp_jeju_krw_per_kwh,power_epsis,raw.epsis_smp_monthly,smp_jeju_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS SMP 제주 SMP(원/kWh),raw.epsis_smp_monthly의 `smp_jeju_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_smp_monthly__smp_land_krw_per_kwh,power_epsis,raw.epsis_smp_monthly,smp_land_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS SMP 육지 SMP(원/kWh),raw.epsis_smp_monthly의 `smp_land_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
epsis_smp_monthly__smp_total_krw_per_kwh,power_epsis,raw.epsis_smp_monthly,smp_total_krw_per_kwh,asof_date <= trade_date 기준 as-of join.,EPSIS SMP 전국 SMP(원/kWh),raw.epsis_smp_monthly의 `smp_total_krw_per_kwh` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,전력/EPSIS
kma_asos_weather_daily__avg_relative_humidity_pct,weather_kma,raw.kma_asos_weather_daily,avg_relative_humidity_pct,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 평균 상대습도(%),raw.kma_asos_weather_daily의 `avg_relative_humidity_pct` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__avg_temp_c,weather_kma,raw.kma_asos_weather_daily,avg_temp_c,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 평균기온(°C),raw.kma_asos_weather_daily의 `avg_temp_c` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__avg_wind_speed_mps,weather_kma,raw.kma_asos_weather_daily,avg_wind_speed_mps,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 평균 풍속(m/s),raw.kma_asos_weather_daily의 `avg_wind_speed_mps` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__cdd18,weather_kma,raw.kma_asos_weather_daily,cdd18,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 냉방도일 CDD18,raw.kma_asos_weather_daily의 `cdd18` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__hdd18,weather_kma,raw.kma_asos_weather_daily,hdd18,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 난방도일 HDD18,raw.kma_asos_weather_daily의 `hdd18` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__is_precip_day,weather_kma,raw.kma_asos_weather_daily,is_precip_day,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 강수일 여부,raw.kma_asos_weather_daily의 `is_precip_day` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__max_temp_c,weather_kma,raw.kma_asos_weather_daily,max_temp_c,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 최고기온(°C),raw.kma_asos_weather_daily의 `max_temp_c` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__min_temp_c,weather_kma,raw.kma_asos_weather_daily,min_temp_c,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 최저기온(°C),raw.kma_asos_weather_daily의 `min_temp_c` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__precip_mm,weather_kma,raw.kma_asos_weather_daily,precip_mm,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 강수량(mm),raw.kma_asos_weather_daily의 `precip_mm` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__solar_radiation_mj_m2,weather_kma,raw.kma_asos_weather_daily,solar_radiation_mj_m2,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 일사량(MJ/m²),raw.kma_asos_weather_daily의 `solar_radiation_mj_m2` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__station_count,weather_kma,raw.kma_asos_weather_daily,station_count,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 관측소 수,raw.kma_asos_weather_daily의 `station_count` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_daily__sunshine_hours,weather_kma,raw.kma_asos_weather_daily,sunshine_hours,asof_date <= trade_date 기준 as-of join.,KMA 전국 ASOS 기상 일조시간,raw.kma_asos_weather_daily의 `sunshine_hours` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__avg_relative_humidity_pct,weather_kma,raw.kma_asos_weather_station_daily,avg_relative_humidity_pct,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 평균 상대습도(%),raw.kma_asos_weather_station_daily의 `avg_relative_humidity_pct` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__avg_temp_c,weather_kma,raw.kma_asos_weather_station_daily,avg_temp_c,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 평균기온(°C),raw.kma_asos_weather_station_daily의 `avg_temp_c` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__avg_wind_speed_mps,weather_kma,raw.kma_asos_weather_station_daily,avg_wind_speed_mps,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 평균 풍속(m/s),raw.kma_asos_weather_station_daily의 `avg_wind_speed_mps` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__cdd18,weather_kma,raw.kma_asos_weather_station_daily,cdd18,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 냉방도일 CDD18,raw.kma_asos_weather_station_daily의 `cdd18` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__hdd18,weather_kma,raw.kma_asos_weather_station_daily,hdd18,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 난방도일 HDD18,raw.kma_asos_weather_station_daily의 `hdd18` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__is_precip_day,weather_kma,raw.kma_asos_weather_station_daily,is_precip_day,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 강수일 여부,raw.kma_asos_weather_station_daily의 `is_precip_day` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__max_temp_c,weather_kma,raw.kma_asos_weather_station_daily,max_temp_c,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 최고기온(°C),raw.kma_asos_weather_station_daily의 `max_temp_c` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__min_temp_c,weather_kma,raw.kma_asos_weather_station_daily,min_temp_c,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 최저기온(°C),raw.kma_asos_weather_station_daily의 `min_temp_c` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__precip_mm,weather_kma,raw.kma_asos_weather_station_daily,precip_mm,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 강수량(mm),raw.kma_asos_weather_station_daily의 `precip_mm` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__solar_radiation_mj_m2,weather_kma,raw.kma_asos_weather_station_daily,solar_radiation_mj_m2,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 일사량(MJ/m²),raw.kma_asos_weather_station_daily의 `solar_radiation_mj_m2` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
kma_asos_weather_station_daily__sunshine_hours,weather_kma,raw.kma_asos_weather_station_daily,sunshine_hours,asof_date <= trade_date 기준 as-of join.,KMA 관측소 ASOS 기상 일조시간,raw.kma_asos_weather_station_daily의 `sunshine_hours` 값을 사용한 변수입니다. 결합 기준: asof_date <= trade_date 기준 as-of join.,기상/KMA
